code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
600163,中闽能源,1998-06-02,sh,stock,stock_sh_600163,造纸行业,"['海峡西岸', '风能', '融资融券', '准ST股', '摘帽概念']",福建,,,1998-06-02
600165,新日恒力,1998-05-29,sh,stock,stock_sh_600165,钢铁行业,"['参股金融', '节能环保', '保障房', '金融参股', '陕甘宁']",宁夏,,,1998-05-29
600166,福田汽车,1998-06-02,sh,stock,stock_sh_600166,汽车制造,"['券商重仓', '融资融券', '本月解禁', '金融参股', '业绩预降', '百度概念']",北京,,,1998-06-02
600167,联美控股,1999-01-28,sh,stock,stock_sh_600167,供水供气,重组概念,辽宁,,,1999-01-28
600168,武汉控股,1998-04-27,sh,stock,stock_sh_600168,供水供气,"['赛马概念', '污水处理', '武汉规划', '重组概念']",湖北,,,1998-04-27
600169,太原重工,1998-09-04,sh,stock,stock_sh_600169,机械行业,"['券商重仓', '海工装备', '分拆上市', '融资融券', '铁路基建']",山西,,,1998-09-04
600170,上海建工,1998-06-23,sh,stock,stock_sh_600170,建筑建材,"['参股金融', '迪士尼', '融资融券', '国企改革', '保障房', '金融参股', '装饰园林', '上海本地', '上海自贸']",上海,,,1998-06-23
600171,上海贝岭,1998-09-24,sh,stock,stock_sh_600171,电子器件,"['参股金融', '券商重仓', '触摸屏', '金融参股', '新三板', '物联网', '上海本地']",上海,,,1998-09-24
600172,黄河旋风,1998-11-26,sh,stock,stock_sh_600172,其它行业,"['QFII重仓', '页岩气', '国防军工']",河南,,,1998-11-26
600173,卧龙地产,1999-04-15,sh,stock,stock_sh_600173,房地产,保障房,浙江,,,1999-04-15
600175,美都能源,1999-04-08,sh,stock,stock_sh_600175,房地产,"['参股金融', '石墨烯', '油气改革', '锂电池', '股权激励', '金融参股']",浙江,,,1999-04-08
600176,中国巨石,1999-04-22,sh,stock,stock_sh_600176,玻璃行业,"['出口退税', '社保重仓']",浙江,,,1999-04-22
600177,雅戈尔,1998-11-19,sh,stock,stock_sh_600177,服装鞋类,"['参股金融', '融资融券', '保险重仓', 'O2O模式', '金融参股', '新三板', '新零售', '互联金融']",浙江,,,1998-11-19
600178,东安动力,1998-10-14,sh,stock,stock_sh_600178,汽车制造,"['国防军工', '军工航天']",黑龙江,,,1998-10-14
600179,安通控股,1998-11-04,sh,stock,stock_sh_600179,煤炭行业,"['融资融券', '海南自贸', '摘帽概念']",黑龙江,,,1998-11-04
600180,瑞茂通,1998-07-03,sh,stock,stock_sh_600180,交通运输,"['电商概念', '股权激励', '黄河三角']",山东,,,1998-07-03
600182,S佳通,1999-05-07,sh,stock,stock_sh_600182,汽车制造,"['出口退税', '外资背景', '未股改']",黑龙江,,,1999-05-07
